0,5547028;
0,1640778;
0,9453278;
4,070328;
4,070328;
3,679703;
6,414078;
5,632828;
5,632828;
6,023453;
6,414078;
6,414078;
6,023453;
6,023453;
6,414078;
6,414078;
5,632828;
5,632828;
5,632828;
6,414078;
6,023453;
6,804703;
6,023453;
5,632828;
6,023453;
6,023453;
6,023453;
5,242203;
6,414078;
6,414078;
6,023453;
4,851578;
6,804703;
6,804703;
5,632828;
6,414078;
6,023453;
6,804703;
6,414078;
5,632828;
6,804703;
5,632828;
6,414078;
6,023453;
6,414078;
5,632828;
6,414078;
5,632828;
6,414078;
6,023453;
6,414078;
5,632828;
6,023453;
6,414078;
5,242203;
5,632828;
5,632828;
4,460953;
5,632828;
6,414078;
6,023453;
6,023453;
5,242203;
6,023453;
5,632828;
5,632828;
5,632828;
5,632828;
4,851578;
5,242203;
5,242203;
4,851578;
5,632828;
4,460953;
5,242203;
4,460953;
4,851578;
4,460953;
4,851578;
5,242203;
4,460953;
4,851578;
4,070328;
5,242203;
3,679703;
3,679703;
3,289078;
2,898453;
3,289078;
2,898453;
2,507813;
1,726578;
1,726578;
0,9453278;
0,5547028;
0,9453278;
0,1640778;
0,1640778;
0,1640778;
-0,6171722;
-1,789047;
-1,789047;
-2,570297;
-3,742172;
-3,742172;
-4,914047;
-4,914047;
-6,476547;
-6,867172;
-6,085922;
-8,039047;
-8,429672;
-8,039047;
-8,820297;
-9,601547;
-10,77342;
-11,55467;
-11,55467;
-11,94531;
-12,33592;
-12,72655;
-14,67969;
-14,28905;
-16,24217;
-17,02342;
-17,41406;
-18,58592;
-19,7578;
-20,92969;
-22,49217;
-23,27342;
-25,61719;
-26,0078;
-26,78905;
-28,35156;
-29,13281;
-30,30467;
-32,64844;
-33,03905;
-33,42967;
-34,60156;
-35,77342;
-36,16405;
-37,33594;
-38,5078;
-39,67967;
-39,67967;
-41,63281;
-42,02343;
-41,63281;
-43,58593;
-43,58593;
-44,36719;
-43,97655;
-45,14843;
-44,7578;
-46,3203;
-45,53905;
-45,92968;
-45,53905;
-45,92968;
-46,3203;
-46,71093;
-45,92968;
-47,10155;
-47,10155;
-47,10155;
-47,10155;
-47,49218;
-47,49218;
-46,71093;
-47,8828;
-47,49218;
-48,27343;
-48,66405;
-47,49218;
-47,49218;
-48,66405;
-47,8828;
-48,27343;
-47,8828;
-48,27343;
-47,49218;
-48,27343;
-48,27343;
-48,27343;
-48,27343;
-48,27343;
-48,66405;
-47,8828;
-48,66405;
-48,66405;
-48,27343;
-48,66405;
-48,66405;
-49,05468;
-49,83593;
-49,05468;
-49,05468;
-49,4453;
-48,66405;
-48,66405;
-49,4453;
-49,83593;
-49,05468;
-49,4453;
-49,05468;
-49,83593;
-50,22655;
-50,22655;
-49,4453;
-49,4453;
-48,66405;
-49,83593;
-50,22655;
-49,83593;
-49,83593;
-49,4453;
-49,83593;
-49,4453;
-49,4453;
-49,83593;
-49,05468;
-49,83593;
-48,66405;
-49,4453;
-49,83593;
-49,05468;
-49,4453;
-49,4453;
-49,83593;
-50,22655;
-50,61718;
-49,83593;
-49,4453;
-49,83593;
-50,22655;
-49,83593;
-49,4453;
-49,05468;
-49,05468;
-49,05468;
-49,05468;
-49,4453;
-49,05468;
-48,66405;
-49,4453;
-48,27343;
-48,27343;
-49,4453;
-49,05468;
-49,4453;
-49,05468;
-48,66405;
-48,66405;
-48,27343;
-49,05468;
-48,27343;
-47,8828;
-48,66405;
-47,8828;
-48,66405;
-48,27343;
-47,8828;
-48,27343;
-47,49218;
-47,8828;
-47,10155;
-47,49218;
-47,10155;
-48,27343;
-48,27343;
-47,49218;
-47,49218;
-47,10155;
-46,3203;
-47,10155;
-45,92968;
-46,3203;
-46,3203;
-47,10155;
-46,71093;
-46,71093;
-47,10155;
-47,10155;
-46,71093;
-47,49218;
-46,3203;
-45,92968;
-45,92968;
-45,53905;
-46,3203;
-45,92968;
-45,53905;
-45,53905;
-44,7578;
-45,53905;
-45,53905;
-45,14843;
-44,7578;
-44,7578;
-44,36719;
-44,36719;
-44,7578;
-44,36719;
-43,97655;
-43,58593;
-43,58593;
-43,97655;
-43,97655;
-42,80468;
-43,1953;
-43,1953;
-42,41405;
-42,41405;
-42,80468;
-42,41405;
-42,41405;
-41,63281;
-41,24218;
-40,85155;
-40,46093;
-41,24218;
-40,46093;
-40,46093;
-39,28905;
-39,67967;
-38,89842;
-39,28905;
-38,89842;
-38,5078;
-38,11719;
-38,11719;
-37,33594;
-37,33594;
-36,9453;
-36,55467;
-36,9453;
-35,38281;
-35,77342;
-35,38281;
-34,60156;
-34,99217;
-34,21092;
-33,8203;
-33,03905;
-33,42967;
-33,03905;
-32,2578;
-31,86719;
-32,2578;
-31,86719;
-31,08592;
-31,08592;
-30,6953;
-30,30467;
-29,52342;
-28,74217;
-29,13281;
-28,74217;
-28,35156;
-27,5703;
-27,5703;
-28,35156;
-27,17967;
-26,39844;
-26,39844;
-25,61719;
-25,61719;
-25,22655;
-25,22655;
-24,4453;
-23,66406;
-22,49217;
-22,88281;
-22,88281;
-22,49217;
-21,71092;
-21,71092;
-21,3203;
-20,92969;
-20,14844;
-20,14844;
-19,7578;
-19,7578;
-18,58592;
-18,58592;
-18,19531;
-17,80467;
-18,19531;
-17,41406;
-17,41406;
-16,6328;
-15,85155;
-15,85155;
-15,0703;
-15,85155;
-15,0703;
-14,28905;
-13,89842;
-12,72655;
-13,11717;
-12,33592;
-12,72655;
-12,33592;
-11,94531;
-11,55467;
-11,16405;
-11,16405;
-10,77342;
-10,77342;
-10,3828;
-9,992172;
-10,3828;
-8,429672;
-9,210938;
-8,820297;
-8,039047;
-8,429672;
-7,648422;
-7,257797;
-7,648422;
-7,648422;
-7,257797;
-6,867172;
-6,085922;
-6,476547;
-6,085922;
-5,304672;
-5,304672;
-4,523422;
-4,914047;
-4,132797;
-3,351547;
-3,351547;
-2,570297;
-1,789047;
-1,007797;
-1,007797;
0,5547028;
-0,2265625;
-0,2265625;
-0,2265625;
0,9453278;
1,335953;
2,117203;
2,117203;
2,898453;
2,117203;
3,289078;
2,898453;
2,898453;
3,289078;
3,679703;
4,070328;
2,507813;
4,070328;
4,460953;
4,070328;
4,070328;
4,460953;
4,460953;
4,070328;
3,289078;
4,851578;
4,070328;
3,679703;
4,070328;
4,851578;
4,851578;
4,070328;
3,679703;
3,679703;
3,289078;
2,507813;
2,898453;
3,289078;
4,070328;
3,289078;
3,289078;
3,289078;
2,898453;
3,289078;
3,289078;
3,679703;
2,898453;
3,289078;
4,070328;
2,507813;
2,898453;
2,898453;
2,898453;
3,289078;
2,898453;
2,507813;
2,898453;
2,898453;
2,898453;
3,289078;
2,898453;
3,289078;
3,289078;
4,070328;
2,898453;
3,679703;
2,898453;
3,679703;
3,289078;
3,679703;
4,070328;
4,070328;
4,070328;
4,460953;
4,460953;
4,851578;
5,242203;
5,242203;
5,242203;
6,023453;
5,632828;
6,023453;
6,023453;
5,632828;
5,242203;
6,414078;
5,632828;
6,414078;
6,804703;
6,414078;
6,414078;
6,414078;
6,023453;
6,023453;
6,023453;
6,023453;
6,414078;
6,414078;
5,632828;
