-13,93962;
-16,08837;
-12,7669;
-15,50126;
-14,91565;
-16,28357;
-15,11085;
-14,91565;
-15,11085;
-14,33003;
-13,93962;
-12,57169;
-11,79087;
-13,93962;
-12,37649;
-11,98608;
-15,11085;
-11,40046;
-11,79087;
-11,20526;
-8,275689;
-9,05651;
-9,05651;
-8,275689;
-8,080483;
-6,907763;
-7,885279;
-5,736531;
-4,368605;
-7,885279;
-4,95571;
0,7089846;
5,78711;
11,45117;
20,82618;
30,5918;
40,55274;
48,36524;
48,95118;
49,3418;
52,27149;
52,07618;
51,88087;
54,0293;
52,66211;
56,17774;
56,17774;
57,34962;
59,10743;
59,10743;
58,32618;
60,08399;
59,88867;
60,47462;
59,49806;
60,47462;
61,45118;
62,42774;
63,01367;
62,23243;
63,01367;
63,01367;
62,42774;
62,03711;
62,81837;
62,23243;
59,69337;
60,86524;
60,47462;
56,76368;
59,49806;
59,30274;
55,5918;
57,34962;
57,54493;
56,37306;
54,81055;
52,4668;
53,63868;
51,88087;
52,66211;
50,31837;
48,75587;
46,60743;
46,60743;
44,84962;
43,48243;
40,74805;
41,33399;
38,79493;
29,81055;
19,06836;
13,20898;
4,615234;
-4,760505;
-8,275689;
-8,080483;
-9,251715;
-6,712557;
-9,251715;
-10,81485;
-10,22923;
-12,18128;
-9,44692;
-11,20526;
-10,22923;
-11,20526;
-11,59567;
-12,96359;
-13,354;
-12,57169;
-13,93962;
-13,354;
-12,96359;
-13,1588;
-13,354;
-14,33003;
-13,54921;
-14,13483;
-12,7669;
-15,89316;
-15,11085;
-15,30606;
-14,72044;
-14,72044;
-16,08837;
-13,354;
-15,69796;
-14,91565;
-13,93962;
-11,59567;
-12,57169;
-13,54921;
-12,7669;
-11,01005;
-12,96359;
-12,96359;
-12,7669;
-11,79087;
-10,61964;
-9,44692;
-12,18128;
-9,251715;
-12,96359;
-10,22923;
-11,79087;
-10,42444;
-12,18128;
-8,861304;
-7,690073;
-10,22923;
-6,517352;
-6,907763;
-7,102967;
-5,346121;
-1,634766;
0,7089846;
5,591798;
13,99023;
20,63086;
34,30274;
45,82618;
46,99805;
50,70899;
51,68555;
52,07618;
53,44337;
52,66211;
54,61524;
55,20118;
54,41993;
57,93555;
57,34962;
56,76368;
59,88867;
59,69337;
60,66992;
58,32618;
60,08399;
61,45118;
60,2793;
61,45118;
61,06056;
60,08399;
63,4043;
63,4043;
57,93555;
64,77149;
63,20899;
63,01367;
61,64649;
62,03711;
61,06056;
61,06056;
59,69337;
60,08399;
56,76368;
56,95899;
56,95899;
55,5918;
53,44337;
55,20118;
51,68555;
52,85743;
52,27149;
51,68555;
49,14649;
49,14649;
47,19337;
46,80274;
44,84962;
42,31055;
43,28712;
39,38086;
34,49805;
27,27149;
21,41211;
9,498047;
3,052734;
-5,541326;
-9,642125;
-9,44692;
-10,42444;
-9,251715;
-9,44692;
-11,40046;
-9,05651;
-11,59567;
-11,20526;
-10,42444;
-13,93962;
-12,96359;
-12,57169;
-13,1588;
-13,1588;
-15,11085;
-12,96359;
-12,7669;
-12,7669;
-15,89316;
-16,28357;
-14,33003;
-13,54921;
-15,11085;
-15,11085;
-14,13483;
-14,52524;
-15,30606;
-13,54921;
-14,33003;
-15,50126;
-14,72044;
-14,91565;
-14,13483;
-13,74442;
-14,91565;
-14,52524;
-13,54921;
-13,1588;
-10,81485;
-12,18128;
-12,18128;
-12,18128;
-12,57169;
-11,79087;
-10,42444;
-11,79087;
-13,93962;
-13,1588;
-10,03254;
-9,44692;
-9,837331;
-9,837331;
-8,470894;
-9,251715;
-7,494868;
-4,760505;
-6,712557;
-6,126942;
-5,931736;
-4,173399;
2,857422;
9,888673;
15,35742;
26,49024;
36,64649;
46,80274;
48,16992;
49,92774;
52,27149;
51,49024;
53,24805;
51,09962;
52,4668;
55,39649;
56,95899;
58,7168;
58,32618;
57,1543;
59,88867;
58,91212;
55,5918;
59,88867;
61,84181;
64,57618;
59,30274;
62,23243;
62,62306;
63,59962;
62,42774;
62,81837;
62,81837;
61,06056;
63,01367;
63,01367;
62,62306;
62,03711;
60,86524;
60,08399;
59,88867;
58,32618;
59,10743;
56,95899;
56,37306;
56,76368;
56,17774;
54,41993;
53,83399;
53,05274;
53,05274;
52,07618;
49,73243;
48,16992;
45,43555;
44,6543;
44,45899;
42,50587;
40,74805;
38,99024;
34,88868;
29,41993;
18,28711;
9,107423;
1,685547;
-6,322146;
-7,298173;
-9,642125;
-11,40046;
-9,837331;
-10,22923;
-10,81485;
-10,61964;
-10,61964;
-9,837331;
-11,79087;
-12,96359;
-12,18128;
-12,37649;
-14,13483;
-11,98608;
-13,354;
-13,93962;
-12,37649;
-14,72044;
-16,08837;
-13,93962;
-12,57169;
-15,11085;
-14,52524;
-15,11085;
-14,91565;
-14,72044;
-16,08837;
-16,86919;
-16,08837;
-15,69796;
-16,28357;
-14,91565;
-13,74442;
-13,54921;
-15,11085;
-11,98608;
-14,91565;
-13,54921;
-15,11085;
-12,96359;
-11,59567;
-14,52524;
-10,81485;
-12,57169;
-11,98608;
-9,837331;
-10,22923;
-9,837331;
-11,40046;
-10,61964;
-11,01005;
-9,05651;
-9,44692;
-9,251715;
-9,251715;
-8,275689;
-9,251715;
-5,541326;
-4,760505;
-0,2675781;
4,029297;
11,8418;
19,6543;
27,27149;
37,03711;
44,45899;
48,16992;
48,16992;
53,24805;
53,44337;
54,0293;
53,05274;
57,93555;
54,0293;
56,37306;
56,17774;
56,56837;
57,54493;
59,69337;
57,54493;
58,7168;
59,10743;
60,86524;
59,69337;
60,86524;
61,25587;
64,57618;
63,20899;
63,59962;
63,20899;
63,01367;
62,42774;
60,66992;
63,59962;
62,03711;
60,08399;
60,47462;
59,30274;
60,08399;
57,93555;
58,91212;
57,74024;
57,54493;
54,22462;
54,61524;
54,0293;
53,44337;
52,85743;
51,68555;
52,66211;
50,70899;
48,16992;
43,48243;
45,24024;
44,06837;
41,72462;
40,55274;
39,18555;
33,32618;
24,73243;
16,13867;
9,107423;
-0,6582031;
-5,931736;
-6,712557;
-10,42444;
-8,470894;
-8,6661;
-10,61964;
-10,42444;
-9,251715;
-9,642125;
-11,79087;
-11,01005;
-11,79087;
-12,37649;
-11,40046;
-12,7669;
-14,52524;
-15,50126;
-13,74442;
-15,69796;
-14,13483;
-13,74442;
-13,54921;
-13,354;
-14,33003;
-14,52524;
-16,28357;
-14,72044;
-16,28357;
-16,28357;
-14,72044;
-15,30606;
-13,54921;
-15,89316;
-14,13483;
-15,50126;
-15,30606;
-13,1588;
-12,96359;
-14,72044;
-11,98608;
-12,37649;
-11,98608;
-12,57169;
-15,89316;
-13,1588;
-11,98608;
-12,37649;
-12,37649;
-12,37649;
-10,22923;
-9,251715;
-10,03254;
-10,42444;
-11,01005;
-9,05651;
-8,861304;
-7,494868;
-6,712557;
-6,517352;
-6,322146;
-5,541326;
-1,439453;
6,56836;
9,69336;
19,6543;
32,1543;
42,50587;
49,3418;
49,73243;
51,29492;
52,4668;
52,85743;
52,85743;
53,83399;
52,66211;
55,39649;
57,1543;
56,95899;
56,37306;
56,17774;
59,69337;
59,49806;
59,88867;
60,66992;
60,86524;
62,62306;
62,62306;
61,06056;
62,81837;
62,23243;
61,25587;
62,03711;
61,06056;
61,45118;
61,84181;
62,03711;
60,86524;
60,08399;
61,25587;
60,08399;
58,91212;
58,32618;
58,32618;
55,78712;
57,34962;
56,95899;
54,22462;
52,07618;
52,27149;
51,88087;
50,90431;
48,95118;
49,73243;
47,38868;
47,77931;
43,28712;
44,06837;
41,5293;
38,99024;
38,01368;
31,95899;
23,95117;
12,62305;
5,591798;
-4,95571;
-7,885279;
-8,080483;
-9,642125;
-8,275689;
-9,251715;
-12,57169;
-8,470894;
-11,20526;
-10,61964;
-11,20526;
-10,81485;
-12,37649;
-15,30606;
-12,96359;
-13,1588;
-13,74442;
-12,37649;
-12,37649;
-12,57169;
-15,69796;
-12,7669;
-14,72044;
-15,30606;
-15,69796;
-15,11085;
-14,52524;
-13,93962;
-13,354;
-15,50126;
-13,54921;
-17,2596;
-15,11085;
-16,67398;
-14,13483;
-14,33003;
-17,45481;
-15,11085;
-12,96359;
-14,52524;
-13,1588;
-13,1588;
-13,354;
-11,98608;
-12,57169;
-12,18128;
-13,354;
-11,20526;
-10,42444;
-11,98608;
-9,642125;
-9,837331;
-10,22923;
-9,05651;
-9,05651;
-9,44692;
-8,470894;
-8,6661;
-6,322146;
-6,322146;
-7,494868;
-5,541326;
2,466797;
6,373047;
14,18555;
24,53711;
32,1543;
44,6543;
47,19337;
49,73243;
50,90431;
51,88087;
53,63868;
53,83399;
53,63868;
55,98243;
56,37306;
57,34962;
56,76368;
56,37306;
58,32618;
57,1543;
57,74024;
59,49806;
59,49806;
60,08399;
61,25587;
61,45118;
61,45118;
63,59962;
62,03711;
62,62306;
62,23243;
62,03711;
62,81837;
61,45118;
61,25587;
61,64649;
62,42774;
59,69337;
60,2793;
60,66992;
57,54493;
57,93555;
57,1543;
55,39649;
54,41993;
54,41993;
54,0293;
53,24805;
51,29492;
51,88087;
49,92774;
47,97462;
48,16992;
47,19337;
45,43555;
43,67774;
41,91993;
38,79493;
35,66992;
29,81055;
21,99805;
9,498047;
3,833985;
-5,150915;
-5,346121;
-7,690073;
-7,885279;
-8,470894;
-11,40046;
-9,44692;
-10,22923;
-10,81485;
-11,01005;
-11,59567;
-12,18128;
-12,57169;
-13,54921;
-12,96359;
-12,37649;
-13,93962;
-11,20526;
-14,13483;
-13,74442;
-14,33003;
-12,37649;
-14,72044;
-14,33003;
-15,11085;
-13,354;
-15,11085;
-14,13483;
-15,30606;
-14,33003;
-14,52524;
-14,52524;
-16,28357;
-14,72044;
-13,93962;
-13,354;
-13,354;
-13,1588;
-12,96359;
-13,54921;
-13,54921;
-13,54921;
-11,98608;
-12,7669;
-11,20526;
-12,7669;
-11,40046;
-12,37649;
-10,22923;
-10,22923;
-9,44692;
-9,251715;
-9,837331;
-10,22923;
-10,81485;
-8,080483;
-9,05651;
-7,885279;
-6,517352;
-7,102967;
-4,760505;
-2,220703;
3,248047;
8,521485;
14,38086;
25,51368;
31,95899;
44,84962;
47,77931;
50,51368;
51,09962;
50,90431;
51,49024;
54,61524;
54,81055;
55,00587;
56,17774;
56,95899;
58,7168;
56,95899;
58,32618;
59,10743;
60,2793;
61,25587;
59,88867;
63,4043;
60,86524;
60,2793;
62,62306;
62,42774;
62,42774;
63,99024;
63,59962;
63,20899;
62,03711;
61,64649;
60,86524;
59,49806;
60,86524;
59,88867;
57,93555;
57,54493;
57,54493;
57,1543;
56,37306;
53,83399;
55,5918;
52,85743;
54,61524;
50,51368;
50,90431;
48,56055;
50,12305;
47,58399;
46,99805;
44,45899;
42,70118;
40,55274;
38,99024;
36,06055;
30,00586;
17,89649;
9,888673;
-0,07226563;
-4,563809;
-6,517352;
-8,080483;
-9,642125;
-9,05651;
-10,61964;
-11,40046;
-9,44692;
-13,54921;
-9,837331;
-10,81485;
-12,37649;
-11,98608;
-14,72044;
-13,54921;
-11,79087;
-16,28357;
-13,54921;
-14,13483;
-14,33003;
-13,54921;
-13,54921;
-14,13483;
-14,72044;
-12,96359;
-15,50126;
-14,33003;
-14,72044;
-13,74442;
-13,54921;
-12,18128;
-14,72044;
-15,11085;
-16,47878;
-16,47878;
-13,74442;
-14,33003;
-15,50126;
-15,89316;
-13,74442;
-14,72044;
-11,98608;
-14,13483;
-11,01005;
-11,40046;
-11,79087;
-11,40046;
-11,79087;
-10,81485;
-10,61964;
-10,61964;
-8,470894;
-10,22923;
-11,79087;
-9,642125;
-9,05651;
-8,080483;
-10,03254;
-7,102967;
-6,517352;
-5,541326;
-3,782989;
3,443359;
10,2793;
19,26367;
27,27149;
34,49805;
46,99805;
