-5,143198;
-6,314429;
-5,143198;
-8,072766;
-4,556092;
-4,751297;
-3,580066;
-2,408835;
3,646485;
8,72461;
15,16992;
22,00586;
34,50586;
43,49024;
48,37305;
52,2793;
51,49805;
53,64649;
54,62305;
56,57617;
55,20898;
56,18556;
57,16211;
56,38086;
56,77149;
56,9668;
60,28712;
62,82618;
61,06836;
60,87305;
61,06836;
61,06836;
61,84961;
62,24024;
60,67774;
63,02149;
62,43555;
62,43555;
63,2168;
62,24024;
63,60743;
62,82618;
61,45899;
63,02149;
62,24024;
61,26368;
62,63086;
59,31056;
60,48243;
58,91993;
58,13868;
56,57617;
57,16211;
56,38086;
54,81837;
53,06056;
53,45118;
55,20898;
52,08399;
50,91211;
49,54493;
49,74024;
47,39649;
46,0293;
45,24805;
40,75586;
39,97461;
34,70118;
26,69336;
19,4668;
12,04492;
2,669922;
-3,775271;
-6,509634;
-4,165682;
-5,533608;
-8,072766;
-7,877561;
-6,900045;
-8,853587;
-8,658382;
-7,877561;
-8,658382;
-8,267972;
-9,048793;
-8,658382;
-10,02482;
-10,80713;
-10,41672;
-11,78316;
-9,829614;
-10,41672;
-13,15108;
-11,19754;
-11,78316;
-13,15108;
-11,00233;
-12,17357;
-11,00233;
-11,58795;
-12,75918;
-12,56398;
-11,97836;
-12,56398;
-13,15108;
-12,56398;
-14,12711;
-12,95439;
-10,02482;
-11,00233;
-11,78316;
-10,41672;
-11,19754;
-10,22002;
-10,22002;
-10,41672;
-9,634408;
-8,658382;
-9,829614;
-8,072766;
-7,877561;
-8,072766;
-8,072766;
-9,439203;
-4,360887;
-9,243998;
-6,314429;
-7,682356;
-5,338403;
-6,314429;
-5,924019;
-3,580066;
-2,994451;
-2,21363;
1,498047;
5,208985;
12,43555;
17,9043;
24,93555;
34,70118;
46,22461;
48,95899;
50,7168;
51,69337;
53,25586;
55,4043;
54,81837;
56,57617;
57,74805;
57,16211;
57,94337;
58,33399;
58,33399;
58,72461;
58,13868;
59,70118;
61,65431;
60,67774;
62,24024;
62,24024;
62,43555;
62,82618;
62,82618;
61,06836;
62,82618;
64,77931;
64,38868;
63,41212;
63,60743;
63,02149;
61,65431;
62,24024;
62,24024;
62,24024;
62,43555;
61,84961;
58,5293;
57,35743;
57,35743;
57,74805;
54,62305;
55,4043;
55,4043;
52,86524;
53,06056;
51,88868;
48,76368;
48,17774;
47,00586;
49,74024;
46,0293;
41,3418;
40,95118;
40,16993;
31,38086;
24,74024;
14,19336;
7,552735;
-3,775271;
-3,384861;
-3,580066;
-3,775271;
-8,267972;
-7,877561;
-6,119224;
-5,924019;
-7,09525;
-6,70484;
-7,877561;
-8,658382;
-5,338403;
-8,463177;
-9,634408;
-8,267972;
-8,658382;
-9,634408;
-11,39274;
-13,54149;
-10,61192;
-11,00233;
-11,97836;
-13,15108;
-11,39274;
-12,17357;
-10,02482;
-10,80713;
-13,15108;
-12,17357;
-11,19754;
-11,78316;
-10,80713;
-13,34629;
-13,54149;
-11,97836;
-10,02482;
-9,243998;
-9,634408;
-9,829614;
-10,02482;
-9,048793;
-9,829614;
-8,853587;
-9,243998;
-11,58795;
-9,829614;
-8,658382;
-9,439203;
-8,072766;
-7,682356;
-4,556092;
-9,048793;
-7,09525;
-7,09525;
-6,119224;
-6,509634;
-5,338403;
-5,533608;
-4,751297;
-4,751297;
-2,408835;
-2,21363;
1,693359;
7,162109;
14,7793;
19,66211;
32,35742;
42,12305;
48,37305;
51,49805;
50,7168;
54,81837;
54,03711;
53,8418;
55,59961;
55,99024;
57,35743;
58,13868;
59,50586;
59,31056;
60,67774;
59,31056;
61,26368;
61,06836;
61,45899;
60,28712;
63,60743;
62,24024;
62,63086;
62,43555;
62,82618;
63,2168;
63,41212;
63,2168;
62,63086;
63,80274;
62,43555;
63,02149;
59,70118;
61,84961;
63,80274;
59,70118;
57,74805;
59,31056;
55,4043;
59,31056;
58,13868;
58,5293;
55,99024;
55,59961;
52,66993;
53,64649;
52,08399;
50,7168;
49,54493;
47,00586;
47,00586;
44,66211;
43,68555;
42,9043;
40,56055;
34,11524;
27,2793;
18,29492;
12,24024;
4,232422;
-2,016934;
-3,189656;
-4,751297;
-4,947993;
-8,072766;
-5,143198;
-5,924019;
-8,072766;
-7,682356;
-9,829614;
-10,22002;
-8,658382;
-8,853587;
-8,853587;
-10,02482;
-9,634408;
-9,634408;
-10,41672;
